Epoch 147 | Train loss tensor(61.0536, device='cuda:0') | Val Loss tensor(62.4589, device='cuda:0') | Dropout 0.0 0.0
Epoch 148 | Train loss tensor(59.5844, device='cuda:0') | Val Loss tensor(63.2852, device='cuda:0') | Dropout 0.0 0.0
Epoch 149 | Train loss tensor(59.5380, device='cuda:0') | Val Loss tensor(62.8276, device='cuda:0') | Dropout 0.0 0.0
Epoch 150 | Train loss tensor(58.2803, device='cuda:0') | Val Loss tensor(60.9941, device='cuda:0') | Dropout 0.0 0.0
Epoch 151 | Train loss tensor(57.7442, device='cuda:0') | Val Loss tensor(60.9841, device='cuda:0') | Dropout 0.0 0.0
Epoch 152 | Train loss tensor(56.0823, device='cuda:0') | Val Loss tensor(61.5613, device='cuda:0') | Dropout 0.0 0.0
Epoch 153 | Train loss tensor(55.5632, device='cuda:0') | Val Loss tensor(67.5914, device='cuda:0') | Dropout 0.0 0.0
Epoch 154 | Train loss tensor(54.3980, device='cuda:0') | Val Loss tensor(60.7125, device='cuda:0') | Dropout 0.0 0.0
Epoch 155 | Train loss tensor(53.8924, device='cuda:0') | Val Loss tensor(64.2882, device='cuda:0') | Dropout 0.0 0.0
Epoch 156 | Train loss tensor(55.0844, device='cuda:0') | Val Loss tensor(57.2541, device='cuda:0') | Dropout 0.0 0.0
Epoch 157 | Train loss tensor(52.7614, device='cuda:0') | Val Loss tensor(64.2952, device='cuda:0') | Dropout 0.0 0.0
Epoch 158 | Train loss tensor(51.1974, device='cuda:0') | Val Loss tensor(58.1318, device='cuda:0') | Dropout 0.0 0.0
Epoch 159 | Train loss tensor(50.0499, device='cuda:0') | Val Loss tensor(55.3970, device='cuda:0') | Dropout 0.0 0.0
Epoch 160 | Train loss tensor(50.3512, device='cuda:0') | Val Loss tensor(57.6060, device='cuda:0') | Dropout 0.0 0.0
Epoch 161 | Train loss tensor(50.8189, device='cuda:0') | Val Loss tensor(58.6245, device='cuda:0') | Dropout 0.0 0.0
Epoch 162 | Train loss tensor(49.2637, device='cuda:0') | Val Loss tensor(57.7934, device='cuda:0') | Dropout 0.0 0.0
Epoch 163 | Train loss tensor(49.5733, device='cuda:0') | Val Loss tensor(54.7696, device='cuda:0') | Dropout 0.0 0.0
Epoch 164 | Train loss tensor(48.1204, device='cuda:0') | Val Loss tensor(61.4735, device='cuda:0') | Dropout 0.0 0.0
Epoch 165 | Train loss tensor(47.7896, device='cuda:0') | Val Loss tensor(58.3959, device='cuda:0') | Dropout 0.0 0.0
Epoch 166 | Train loss tensor(46.2736, device='cuda:0') | Val Loss tensor(50.8967, device='cuda:0') | Dropout 0.0 0.0
Epoch 167 | Train loss tensor(46.0617, device='cuda:0') | Val Loss tensor(55.6436, device='cuda:0') | Dropout 0.0 0.0
Epoch 168 | Train loss tensor(45.9842, device='cuda:0') | Val Loss tensor(52.9752, device='cuda:0') | Dropout 0.0 0.0
Epoch 169 | Train loss tensor(44.3382, device='cuda:0') | Val Loss tensor(52.9770, device='cuda:0') | Dropout 0.0 0.0
Epoch 170 | Train loss tensor(44.3912, device='cuda:0') | Val Loss tensor(49.3844, device='cuda:0') | Dropout 0.0 0.0
Epoch 171 | Train loss tensor(43.5388, device='cuda:0') | Val Loss tensor(53.6634, device='cuda:0') | Dropout 0.0 0.0
Epoch 172 | Train loss tensor(42.3585, device='cuda:0') | Val Loss tensor(49.5220, device='cuda:0') | Dropout 0.0 0.0
Epoch 173 | Train loss tensor(42.8919, device='cuda:0') | Val Loss tensor(48.7237, device='cuda:0') | Dropout 0.0 0.0
Epoch 174 | Train loss tensor(41.8740, device='cuda:0') | Val Loss tensor(55.1570, device='cuda:0') | Dropout 0.0 0.0
